id_record,value
30345496,
30346039,0.85
30347334,2.8
30347163,3.08
30346651,
30347895,
30348345,3.72
30349210,
30349443,3.68
30349444,2.38
30349445,2.05
30349738,3.11
30350915,1.75
30350524,
30351769,
30352284,1.65
30350964,2.68
30353444,1.42
30353257,1.58
30353270,0.59
30353078,
30354584,
30354492,0.07
30354213,
30355423,
30355933,
30355824,
30356639,
30357072,
30357049,
30357878,
30358079,
30358232,
30359426,
30359335,
30359669,
30360422,
30360612,
30361354,
30362179,
30343446,2.45
30365979,
30369828,
30371455,
30372739,
30372779,
30372781,
30372564,
30372986,
30374893,
30375177,
30376095,
30376556,
30376341,
30377392,
30377859,
30378120,
30378976,
30379080,
30379305,
30380136,
30380439,
30380660,0.15
30381637,
30381641,0.8
30381577,
30381911,0.2
30383906,2.05
30382853,
30383323,2.44
30384592,3.32
30384135,
30385436,
30385824,2.86
30385828,2.92
30386207,3.07
30386437,3.93
30386920,5.01
30386609,
30387572,
30388005,3.54
30388261,2.13
30389101,3.34
30389704,0.9
30389924,
30389938,
30390420,1.01
30391475,2.86
30391477,1.99
30390820,
30391528,2.5
30392593,0.56
30392564,
30393908,
30393923,
30395063,
30395250,0.85
30395255,
30395256,
30396132,
30396445,
30396163,
30396165,
30399747,
30398977,
30398719,
30397671,
30397365,
30397741,
30400309,
30399919,
30400279,
30401475,
30403579,
30412154,
30412156,
30407729,
30409215,
30412729,
30412432,
30413714,
30414482,
30414703,
30415521,
30415556,
30415967,
30415672,
30417240,
30417526,
30418302,
30418454,
30418695,
30419432,
30419941,0.06
30420303,0.07
30419883,
30420936,
30421352,0.68
30421351,1.27
30422191,
30422690,4.23
30422535,2.02
30425974,
30423413,
30424701,
30425228,4.82
30424091,2.49
30426534,5.89
30429643,
30427721,4.11
30427724,4.13
30427726,4.01
30427122,
30427651,5.36
30428375,
30428912,1.64
30428266,3.02
30430073,0.82
30431205,
30432037,1.19
30432038,
30430759,
30432188,
30432439,0.01
30433461,
30433464,
30433853,
30434166,
30434575,
30434936,
30435021,
30436009,
30436121,
30436388,
30437145,
30438206,
30437923,
30438556,
30438570,
30439592,
30438857,
30439803,
30440215,
30441160,
30423920,4.59
30443885,
30451752,
30451753,
30449994,
30447947,
30453835,
30452145,
30452509,
30454260,
30453961,
30454526,
30456645,
30455421,
30455732,
30456948,
30456796,
30457294,
30458145,
30459142,
30458329,
30459719,0.2
30459512,
30461160,0.02
30461177,0.6
30460640,
30460985,1.12
30461997,1.33
30462076,
30462361,1.34
30463402,2.7
30463440,
30463759,1.49
30464734,
30465142,2.49
30465961,
30466494,1.92
30467243,
30467830,4.03
30467831,3.44
30467832,4.37
30467741,3.62
30468699,3.97
30468526,
30468876,4.45
30469762,
30470232,0.19
30470015,2.36
30471268,0.02
30471038,
30472741,0.07
30472341,
30473399,
30473820,
30473780,0.77
30473786,
30473791,
30474852,
30474667,
30475572,
30475719,
30476094,
30476822,
30477309,
30477062,
30477616,
30478374,
30478461,
30478830,
30479592,
30479825,
30480559,
30480810,
30482717,
30489749,
30490528,
30492954,
30491454,
30491456,
30491978,
30492721,
30494321,
30495198,
30494132,
30495475,
30495677,
30496443,
30496703,
30496934,
30497733,
30497996,
30498240,
30499242,
30499468,0.01
30500214,
30500224,
30500460,
30501441,0.26
30500658,0.75
30501977,2.15
30501758,
30503460,3.87
30504656,1.08
30504678,1.6
30504680,2.59
30504568,2.92
30504160,
30504168,3,106
30505626,2.46
30505532,16,311
30505987,1.66
30506621,2.36
30506787,14,607
30507162,0.23
30507773,11.63
30508240,1.82
30508070,3.29
30509439,3.11
30509041,11,973
30510149,3.28
30510254,11,729
30510617,0.95
30510570,0.63
30512776,
30512782,
30511797,
30512054,2,794
30513134,
30512715,
30514379,
30514003,
30515503,
30515509,
30515143,
30516317,
30516771,
30516772,
30517271,
30517902,
30518176,
30518597,
30518923,
30519107,
30519848,
30524473,
30520815,
30526690,
30529786,
30531706,
30531716,
30531726,
30531428,
30531068,
30533586,
30533914,
30534979,
30534982,
30535296,
30534947,
30536428,
30536667,
30537504,
30537901,
30539012,0.02
30538266,
30538021,
30539064,
30539386,0.04
30540069,
30540408,2.33
30541418,1.29
30541572,
30541957,2.95
30542799,
30543236,0.18
30544310,
30544602,1.94
30544625,2.67
30544634,0.5
30545125,0.77
30545528,
30545936,4.55
30545938,2.43
30546942,
30547355,3.83
30547320,2.07
30548143,
30548651,0.75
30549375,
30549930,0.03
30549943,0.81
30549948,1.79
30550757,1.31
30550990,
30551432,0.06
30552456,0.21
30552074,
30552492,
30553432,
30553767,
30553904,
30554924,
30555793,
30555798,
30554746,
30555902,
30557383,
30556198,
30557375,
30557741,
30558514,
30558659,
30558920,
30559777,
30560004,
30560758,
30561399,
30561769,
30564328,
30568388,
30571954,
30572398,
30569802,
30572627,
30573838,
30574289,
30574030,
30574523,
30575413,
30576434,
30575668,
30577123,
30577928,
30576773,
30578236,
30578212,
30578589,
30579605,
30580786,0.12
30579880,
30579556,
30580750,
30581180,0.36
30582643,0.13
30582248,
30582250,1.42
30583529,2.01
30583342,
30583799,0.37
30584587,
30584978,2.03
30585133,2.12
30586198,2.42
30585866,
30586222,4.47
30587273,3
30587604,3.69
30587180,
30588547,2.62
30588211,
30588732,2.97
30589603,
30590196,2.63
30589784,1.6
30590901,
30591306,2.55
30593046,0.43
30592570,1.15
30592747,
30593167,0.62
30593931,
30594282,
30594319,
30595195,
30595688,
30595537,
30597647,
30596975,
30598251,
30597948,
30596584,
30596564,
30598913,
30599987,
30599210,
30600233,
30600922,
30601160,
30601904,
30604643,
30609919,
30611892,
30611894,
30612607,
30610797,
30612732,
30612319,
30615869,
30614834,
30615049,
30616453,
30616183,
30617350,
30617711,
30618274,
30618689,
30618964,
30619246,
30620037,
30620113,0.01
30620265,
30620807,0.04
30621864,0.78
30621631,1.27
30622335,
30622776,1.72
30622748,
30623061,3.11
30624421,2.17
30623880,
30624597,0.99
30625427,
30625728,2.24
30626563,
30627041,0.77
30627500,
30628035,0.46
30628951,
30629673,3.21
30630357,
30630789,3.23
30631481,
30631841,1.05
30631784,2.16
30631800,3.22
30631805,2.85
30631809,2.89
30631812,0.84
30631814,0.33
30632672,0.06
30633366,
30636560,
30632847,
30637007,
30634472,
30637886,
30638285,
30635153,
30634505,
30635276,
30635756,
30634029,
30637041,
30638327,
30640809,
30639461,
30639550,
30639137,
30640403,
30640601,
30646878,
30652504,
30652505,
30642090,
30650543,
30648968,
30652750,
30653543,
30653212,
30654888,
30655343,
30655146,
30656172,
30657388,
30656432,
30657667,
30658632,
30657860,
30658953,
30658998,
30659363,
30660403,0.01
30660659,0.03
30660231,
30661439,
30661803,1.32
30661701,1.02
30663630,1.75
30663087,0.83
30662945,
30664581,0.79
30664584,1.43
30664096,
30665797,2.17
30665799,2.09
30666124,
30666966,1.78
30666551,
30667029,1.48
30667870,
30668208,1.96
30668396,0.98
30669066,
30669612,
30670438,
30672323,1.53
30670780,0.22
30671833,
30672287,
30670828,1.5
30670830,1.37
30672907,
30675481,
30675578,
30674517,
30673288,0.27
30674316,
30674702,
30673634,0.49
30675878,
30676809,
30676703,
30678493,
30677090,
30677890,
30678208,
30679420,
30680422,
30680595,
30680686,
30681415,
30681426,
30682122,
30683059,
30689038,
30690343,
30690344,
30692641,
30693046,
30693205,
30694774,
30694838,
30696213,
30697436,
30697162,
30697163,
30697164,
30699304,
30699307,
30697714,
30698242,
30699615,
30699200,
30700578,0.03
30700608,
30702901,0.34
30701860,
30701907,0.05
30703096,
30703836,0.05
30703837,0.7
30703839,0.89
30704151,
30704633,1.5
30704392,1.68
30705474,2.12
30706158,2.24
30705650,
30706609,
30707260,2.89
30706914,2.84
30708276,3.67
30708013,
30708510,4.59
30709408,3.34
30709705,3.89
30710076,
30710588,
30710962,0.12
30711148,4.48
30712600,1.12
30712251,
30712465,0.06
30713887,
30713475,
30714110,0.08
30714897,
30714815,0.01
30716446,
30716270,
30716599,0.06
30716603,
30717755,
30718105,
30718712,
30718716,
30719019,
30719397,
30720024,
30720435,
30721438,
30721333,
30723175,
30729614,
30734676,
30733590,
30733594,
30733794,
30735999,
30735771,
30736777,
30736779,
30736788,
30736790,
30736800,
30736808,
30737138,
30738497,
30738806,
30739787,
30740082,
30741183,
30741679,0.02
30741438,
30743131,
30743132,
30743133,
30743142,
30743143,2.69
30742671,
30743336,1.41
30744583,2.12
30744104,
30744921,4.34
30745336,3.1
30745914,5.71
30746740,4.09
30745368,
30746511,
30747930,3.7
30747426,5.69
30748349,3.81
30749564,1.89
30747875,
30749015,
30750323,2.34
30749522,0.62
30750165,
30750661,1.62
30751907,2.58
30751734,2.14
30751448,
30753069,1.19
30753085,2.64
30752702,
30754176,1.23
30754218,
30754631,
30755167,
30755744,
30756493,
30756538,
30758629,
30757845,
30759199,
30759363,
30760432,
30761445,
30761709,
30761938,
30772632,
30772684,
30772714,
30772723,
30772728,
30772729,
